#	Powered by Chinese Virtual Observatory (China-VO): www.china-vo.org 2017-02-28 09:39:52
#	In case of problem: please contact support@lamost.org
#----------------------------------------------------------------------------
#	obsid,long,I8,
#	obsdate,date,A40,
#	lmjd,int,I4,
#	mjd,int,I4,
#	planid,char,A40,
#	spid,int,I2,
#	fiberid,int,I2,
#	class,char,A20,
#	subclass,char,A20,
#	z,double,F21.10,
#	ra,double,F16.10,
#	dec,double,F16.10,
#	teff,double,F10.10,
#	logg,double,F10.10,
#	feh,double,F10.10,
#	rv,double,F10.10,
#----------------------------------------------------------------------------
obsid,obsdate,lmjd,mjd,planid,spid,fiberid,class,subclass,z,ra,dec,teff,logg,feh,rv
104056,2011-10-24,55859,55858,F5902,4,56,STAR,F5,0.0000693146,332.6933900000,0.5150300000,6279.01,4.228,-0.301,20.78
49006129,2012-04-03,56021,56020,VB3_136N49_V1,6,129,STAR,A7V,-0.0000023349,140.2604800000,49.0982890000,7658.45,4.134,-0.331,-0.70
49006165,2012-04-03,56021,56020,VB3_136N49_V1,6,165,STAR,F4,-0.0000328227,139.9398500000,48.8731380000,6561.93,4.212,-0.120,-9.84
49005190,2012-04-03,56021,56020,VB3_136N49_V1,5,190,STAR,G0,-0.0000904626,135.3222100000,48.9160880000,5916.54,4.323,-0.366,-27.12
49005191,2012-04-03,56021,56020,VB3_136N49_V1,5,191,STAR,F0,0.0000813563,134.9087000000,48.8726040000,6668.37,4.108,-0.018,24.39
49005195,2012-04-03,56021,56020,VB3_136N49_V1,5,195,STAR,A7V,0.0001411100,134.9797700000,48.7074580000, , , , 
49014237,2012-04-03,56021,56020,VB3_136N49_V1,14,237,STAR,F5,-0.0000770533,133.3442000000,50.1873470000,6549.45,4.141,0.041,-23.10
49016157,2012-04-03,56021,56020,VB3_136N49_V1,16,157,STAR,A9V,0.0000772300,135.0159500000,51.1697270000, , , , 
49013014,2012-04-03,56021,56020,VB3_136N49_V1,13,14,STAR,A0III,0.0000232100,140.3899600000,50.0990070000, , , , 
56715099,2012-10-01,56202,56201,EG012535N233041V01,15,99,STAR,F0,0.0000029000,20.8138100000,24.5197400000, , , , 
56715171,2012-10-01,56202,56201,EG012535N233041V01,15,171,STAR,F0,0.0000721600,20.3995100000,24.8229800000, , , , 
56716072,2012-10-01,56202,56201,EG012535N233041V01,16,72,STAR,F6,-0.0000284500,20.2655100000,25.1582500000, , , , 
56703025,2012-10-01,56202,56201,EG012535N233041V01,3,25,STAR,F4,-0.0001478023,20.8837200000,22.9571400000,6565.16,3.974,-0.045,-44.31
56704143,2012-10-01,56202,56201,EG012535N233041V01,4,143,STAR,F5,-0.0000468100,21.3001600000,22.9672200000, , , , 
56711036,2012-10-01,56202,56201,EG012535N233041V01,11,36,STAR,F2,-0.0000318000,21.9766000000,25.6819900000, , , , 
215136,2011-10-24,55859,55858,F5907,15,136,STAR,B6,0.0001803000,45.0948822000,0.4767484000, , , , 
210209,2011-10-24,55859,55858,F5907,10,209,STAR,F5,0.0001105765,43.4735100000,-1.4191200000,6218.67,4.143,0.142,33.15
25504067,2012-01-03,55930,55929,B5593003,4,67,STAR,B9,0.0000691300,63.4293860000,45.5781520000, , , , 
25516112,2012-01-03,55930,55929,B5593003,16,112,STAR,A6IV,0.0001999800,61.5089720000,46.9254370000, , , , 
49106165,2012-04-03,56021,56020,VB3_136N49_V2,6,165,STAR,F4,-0.0000382264,139.9398500000,48.8731380000,6558.28,4.203,-0.118,-11.46
49108088,2012-04-03,56021,56020,VB3_136N49_V2,8,88,STAR,A7V,-0.0000695481,138.3660900000,49.4603040000,7304.54,4.013,-0.129,-20.85
49104046,2012-04-03,56021,56020,VB3_136N49_V2,4,46,STAR,B6,-0.0000015700,136.2046200000,50.2255940000, , , , 
49105190,2012-04-03,56021,56020,VB3_136N49_V2,5,190,STAR,G0,-0.0001008364,135.3222100000,48.9160880000,5929.52,4.335,-0.352,-30.23
49105195,2012-04-03,56021,56020,VB3_136N49_V2,5,195,STAR,A7V,0.0001316300,134.9797700000,48.7074580000, , , , 
49101138,2012-04-03,56021,56020,VB3_136N49_V2,1,138,STAR,F4,0.0000868601,136.6262900000,48.0971410000,6597.34,4.198,-0.063,26.04
56804219,2012-10-01,56202,56201,EG012535N233041V02,4,219,STAR,G3,-0.0000864932,21.4274370000,24.0274690000,5714.07,4.431,-0.150,-25.93
56809046,2012-10-01,56202,56201,EG012535N233041V02,9,46,STAR,A8III,0.0000712100,22.1028000000,24.3991600000, , , , 
100207152,2013-01-02,56295,56294,GAC102N27V3,7,152,STAR,A2IV,0.0000969600,103.0352800000,25.3178840000, , , , 
100203100,2013-01-02,56295,56294,GAC102N27V3,3,100,STAR,A2V,0.0000444900,100.7466200000,27.1024880000, , , , 
100201094,2013-01-02,56295,56294,GAC102N27V3,1,94,STAR,A7V,0.0000892400,102.1263400000,25.2229120000, , , , 
100204039,2013-01-02,56295,56294,GAC102N27V3,4,39,STAR,F6,0.0000717900,102.1387700000,27.6960410000, , , , 
100204059,2013-01-02,56295,56294,GAC102N27V3,4,59,STAR,F6,-0.0000217484,102.8374600000,27.4954450000,6345.79,4.213,0.187,-6.52
